identity_key,molecule_name,formula,rows,primary_rows,sources,energy_min_eV,energy_max_eV,primary_energy_max_eV,cv_fold,raw_primary_nmae_percent,raw_whole_nmae_percent,constant_primary_nmae_percent,constant_whole_nmae_percent,ml_primary_nmae_percent,ml_whole_nmae_percent,improvement_pp
silicon-monohydride,silicon monohydride,SiH,31,24,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",8.472,200.474,60.062,4,15.147654350131662,17.290694960017937,18.162170979217347,18.277394864779303,7.118742484941443,12.959481116040905,8.028911865190219
silicon-tetrachloride,silicon tetrachloride,SiCl4,23,17,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\aip_fig9_12_13_experiment_ecp_beb_READY_TIER_B.csv""]",15.958,200.438,80.527,2,40.45547720615856,39.777188350145174,38.39605323022609,37.69430488092701,33.25791254158229,33.0555275973957,7.197564664576269
silicon-trichloride,silicon trichloride,SiCl3,30,20,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\siclx_experiment_raw_beb_READY_TIER_B.csv""]",15.846,198.908,69.831,2,14.789798832437452,15.18795041340836,12.882340269693692,12.86616211792008,10.900144170429453,8.028249383441405,3.889654662007999
silicon-trifluoride,silicon trifluoride,SiF3,31,27,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",11.028,190.654,109.731,0,26.30059341653583,31.59696710775387,30.585126901561488,36.32016994250798,27.72503843317687,33.563856962946744,-1.424445016641041
silyl-radical,silyl radical,SiH3,31,23,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",9.485,200.474,69.828,1,5.004005460966501,7.865862445190107,4.751006804192279,6.320626229376909,6.204300443568394,8.387053884811472,-1.2002949826018936
silylene,silylene,SiH2,31,23,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",9.485,200.474,69.828,3,6.543362300150942,10.720012327372125,7.47697777049677,10.30047465116218,4.683555675444239,5.88357129107684,1.8598066247067022
sulfur-dioxide,sulfur dioxide,SO2,80,59,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\027_SO2_BEB_vs_experiment.csv""]",12.983,299.601,109.731,2,18.731419146519997,17.942512270038627,17.243056745263903,16.446412816813712,26.94582871915519,24.006623993427215,-8.214409572635194
sulfur-hexafluoride,sulfur hexafluoride,SF6,30,25,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\028_SF6_BEB_vs_experiment.csv""]",18.5221,289.736,155.547,4,15.029682623780518,13.030900327479106,19.32911544524617,17.255625212595934,20.08509017307089,18.590277719320103,-5.05540754929037
tetramethylsilane,tetramethylsilane,C4H12Si,25,24,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\029_TMS_BEB_vs_experiment.csv""]",11.0278,89.7606,80.17,1,24.131205192130725,23.995579592678563,21.05903261728291,20.917915099208084,23.85336183953964,23.64150769071317,0.27784335259108417
water,water,H2O,67,38,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\030_H2O_BEB_vs_experiment.csv""]",14.9195,298.389,90.5395,4,19.764982760467632,17.998809057028843,20.442235010433212,18.541194246023643,20.326997593210727,18.66063318360742,-0.5620148327430954
